Tiempo,RmsElectro
134.3828125,0.917
134.38671875,0.917
134.390625,0.917
134.39453125,0.917
134.3984375,0.917
134.40234375,0.917
134.40625,0.917
134.41015625,0.917
134.4140625,0.917
134.41796875,0.917
134.421875,0.917
134.42578125,0.917
134.4296875,0.917
134.43359375,0.917
134.4375,0.917
134.44140625,0.917
134.4453125,0.917
134.44921875,0.916
134.453125,0.916
134.45703125,0.916
134.4609375,0.916
134.46484375,0.916
134.46875,0.916
134.47265625,0.916
134.4765625,0.916
134.48046875,0.916
134.484375,0.916
134.48828125,0.916
134.4921875,0.916
134.49609375,0.916
134.5,0.916
134.50390625,0.916
134.5078125,0.916
134.51171875,0.916
134.515625,0.916
134.51953125,0.916
134.5234375,0.916
134.52734375,0.916
134.53125,0.916
134.53515625,0.916
134.5390625,0.916
134.54296875,0.916
134.546875,0.916
134.55078125,0.916
134.5546875,0.916
134.55859375,0.916
134.5625,0.916
134.56640625,0.916
134.5703125,0.916
134.57421875,0.916
134.578125,0.916
134.58203125,0.916
134.5859375,0.916
134.58984375,0.916
134.59375,0.916
134.59765625,0.916
134.6015625,0.916
134.60546875,0.916
134.609375,0.916
134.61328125,0.916
134.6171875,0.916
134.62109375,0.916
134.625,0.916
134.62890625,0.916
134.6328125,0.916
134.63671875,0.916
134.640625,0.916
134.64453125,0.916
134.6484375,0.916
134.65234375,0.916
134.65625,0.916
134.66015625,0.916
134.6640625,0.916
134.66796875,0.916
134.671875,0.916
134.67578125,0.916
134.6796875,0.916
134.68359375,0.916
134.6875,0.916
134.69140625,0.916
134.6953125,0.916
134.69921875,0.916
134.703125,0.916
134.70703125,0.916
134.7109375,0.916
134.71484375,0.916
134.71875,0.916
134.72265625,0.916
134.7265625,0.916
134.73046875,0.916
134.734375,0.916
134.73828125,0.916
134.7421875,0.916
134.74609375,0.916
134.75,0.916
134.75390625,0.917
134.7578125,0.917
134.76171875,0.917
134.765625,0.917
134.76953125,0.917
134.7734375,0.917
134.77734375,0.917
134.78125,0.917
134.78515625,0.917
134.7890625,0.917
134.79296875,0.917
134.796875,0.917
134.80078125,0.917
134.8046875,0.917
134.80859375,0.917
134.8125,0.917
134.81640625,0.917
134.8203125,0.917
134.82421875,0.917
134.828125,0.917
134.83203125,0.917
134.8359375,0.917
134.83984375,0.917
134.84375,0.917
134.84765625,0.917
134.8515625,0.917
134.85546875,0.917
134.859375,0.917
134.86328125,0.917
134.8671875,0.917
134.87109375,0.917
134.875,0.918
134.87890625,0.918
134.8828125,0.918
134.88671875,0.918
134.890625,0.918
134.89453125,0.918
134.8984375,0.918
134.90234375,0.918
134.90625,0.918
134.91015625,0.918
134.9140625,0.918
134.91796875,0.918
134.921875,0.918
134.92578125,0.918
134.9296875,0.919
134.93359375,0.919
134.9375,0.919
134.94140625,0.919
134.9453125,0.919
134.94921875,0.919
134.953125,0.919
134.95703125,0.919
134.9609375,0.919
134.96484375,0.919
134.96875,0.919
134.97265625,0.919
134.9765625,0.919
134.98046875,0.919
134.984375,0.919
134.98828125,0.919
134.9921875,0.919
134.99609375,0.92
135,0.92
135.00390625,0.92
135.0078125,0.92
135.01171875,0.92
135.015625,0.92
135.01953125,0.92
135.0234375,0.92
135.02734375,0.92
135.03125,0.92
135.03515625,0.92
135.0390625,0.921
135.04296875,0.921
135.046875,0.921
135.05078125,0.921
135.0546875,0.921
135.05859375,0.921
135.0625,0.921
135.06640625,0.921
135.0703125,0.922
135.07421875,0.922
135.078125,0.922
135.08203125,0.922
135.0859375,0.922
135.08984375,0.922
135.09375,0.922
135.09765625,0.922
135.1015625,0.922
135.10546875,0.923
135.109375,0.923
135.11328125,0.923
135.1171875,0.923
135.12109375,0.923
135.125,0.923
135.12890625,0.923
135.1328125,0.923
135.13671875,0.924
135.140625,0.924
135.14453125,0.924
135.1484375,0.924
135.15234375,0.924
135.15625,0.924
135.16015625,0.924
135.1640625,0.924
135.16796875,0.925
135.171875,0.925
135.17578125,0.925
135.1796875,0.925
135.18359375,0.925
135.1875,0.925
135.19140625,0.925
135.1953125,0.926
135.19921875,0.926
135.203125,0.926
135.20703125,0.926
135.2109375,0.926
135.21484375,0.926
135.21875,0.926
135.22265625,0.926
135.2265625,0.926
135.23046875,0.926
135.234375,0.927
135.23828125,0.927
135.2421875,0.927
135.24609375,0.927
135.25,0.927
135.25390625,0.927
135.2578125,0.927
135.26171875,0.927
135.265625,0.928
135.26953125,0.928
135.2734375,0.928
135.27734375,0.928
135.28125,0.928
135.28515625,0.928
135.2890625,0.928
135.29296875,0.928
135.296875,0.928
135.30078125,0.928
135.3046875,0.929
135.30859375,0.929
135.3125,0.929
135.31640625,0.929
135.3203125,0.929
135.32421875,0.929
135.328125,0.929
135.33203125,0.929
135.3359375,0.929
135.33984375,0.929
135.34375,0.929
135.34765625,0.93
135.3515625,0.93
135.35546875,0.93
135.359375,0.93
135.36328125,0.93
135.3671875,0.93
